BillNum,ShortTitle,HouseSponsor,HouseAddSponsor,HouseCoSponsor,SenateSponsor,SenateAddSponsor,Textbox16
HB22-1392,Contaminated Land Income Tax & Property Tax Exempt,"Bird, Lindsay",,"Bernett, Hooton, Jodeh, Kipp, Lontine, McCluskie, McCormick, Mullica, Ricks, Roberts, Snyder, Titone, Valdez D.",Moreno,,"Buckner, Fields, Hansen, Jaquez Lewis, Lee, Priola, Zenzinger"
HB22-1393,Displaced Aurarian Scholarship,"Tipper, Soper",Gonzales-Gutierrez,"Amabile, Bacon, Benavidez, Bernett, Bird, Caraveo, Cutter, Daugherty, Duran, Esgar, Exum, Froelich, Herod, Hooton, Jodeh, Kipp, Lontine, McCluskie, McLachlan, Michaelson Jenet, Mullica, Ortiz, Rich, Ricks, Sirota, Sullivan, Titone, Valdez A., Valdez D., Weissman","Gonzales, Moreno",,"Buckner, Coleman, Danielson, Jaquez Lewis, Kolker, Story, Fenberg"
HB22-1394,Fund Just Transition Community & Worker Supports,"Esgar, Roberts",Will,"Bacon, Bernett, Bird, Boesenecker, Caraveo, Catlin, Cutter, Duran, Exum, Froelich, Herod, Hooton, Jodeh, Kipp, Lindsay, Lontine, McCluskie, McCormick, McLachlan, Michaelson Jenet, Mullica, Ricks, Sirota, Snyder, Soper, Sullivan, Titone, Valdez A., Valdez D., Young, Kennedy, Ortiz","Winter, Donovan",,"Bridges, Danielson, Ginal, Gonzales, Hansen, Hinrichsen, Jaquez Lewis, Kolker, Pettersen, Rankin, Rodriguez, Simpson, Sonnenberg, Story, Fenberg"
HB22-1395,Transportation Innovation Grant Program,"Larson, Young",,,"Zenzinger, Simpson",Bridges,
HB22-1396,Math Achievement Accelerator Grant Program,"Larson, McLachlan",,,Lundeen,,
HB22-1397,Statewide Equity Office,"Herod, Gonzales-Gutierrez",,"Amabile, Bacon, Benavidez, Bernett, Bird, Caraveo, Cutter, Daugherty, Duran, Esgar, Exum, Froelich, Hooton, Jodeh, Kipp, Lindsay, Lontine, McCluskie, Michaelson Jenet, Ricks, Sirota, Titone, Valdez A., Weissman","Moreno, Coleman",,"Bridges, Buckner, Danielson, Donovan, Gonzales, Hansen, Jaquez Lewis, Lee, Pettersen, Story, Winter, Zenzinger"
HB22-1398,Insurance Companies Registered Agents,"Bird, Holtorf",,"Pico, Ricks","Kolker, Liston",,"Coram, Kirkmeyer, Smallwood, Woodward"
HB22-1399,Music Therapist Title Protection,"Ortiz, Boesenecker",Esgar,"Bacon, Bernett, Caraveo, Cutter, Exum, Gonzales-Gutierrez, Herod, Jodeh, Kennedy, Kipp, Larson, Lindsay, McCormick, Ricks, Titone, Valdez D., Garnett",Ginal,,"Buckner, Fields, Lee, Pettersen, Zenzinger"
HB22-1400,Procedural Requirements For State Enterprises,"McCluskie, Tipper",,"Duran, Esgar, Kennedy, Kipp, Lindsay, Titone, Weissman, Woodrow, Garnett, Jodeh, Valdez D.",Moreno,,"Simpson, Zenzinger"
HB22-1401,Hospital Nurse Staffing Standards,Mullica,,"Amabile, Bernett, Caraveo, Duran, Esgar, Herod, Hooton, Jodeh, Lindsay, Lontine, Ortiz, Sirota, Valdez A.",Moreno,,"Buckner, Fields, Gonzales, Hinrichsen, Jaquez Lewis, Lee, Pettersen, Story, Winter, Fenberg"
HB22-1402,Responsible Gaming Grant Program,Garnett,,"Amabile, Benavidez, Bernett, Bird, Duran, Esgar, Jodeh, Kipp, Lindsay, Lontine, McCluskie, McCormick, McLachlan, Michaelson Jenet, Mullica, Ricks, Snyder, Sullivan, Titone, Valdez A., Valdez D., Williams, Woodrow, Cutter, Young",Hansen,,"Hisey, Lee, Moreno, Priola, Rankin"
HB22-1403,Extend HB21-1198 Implementation Date 3 Months,Jodeh,,"Hooton, Lindsay, Ricks, Valdez A.",Buckner,,
HB22-1404,CO Critical Infrastructure Resiliency Initiative,Van Beber,Pico,,"Woodward, Ginal",,
HB22-1405,Add Faculty To Key Participant Definition For Hemp,Lindsay,,"Bird, Duran, Esgar, Lontine, McCormick, Michaelson Jenet, Pelton, Titone, Valdez D.",Jaquez Lewis,,"Cooke, Simpson"
HB22-1406,Qualified Retailer Retain Sales Tax,"Herod, Roberts",,"Bacon, Bird, Bockenfeld, Boesenecker, Cutter, Exum, Jodeh, Kipp, Lindsay, Lontine, McCluskie, Michaelson Jenet, Mullica, Ricks, Sandridge, Titone, Van Winkle, Woodrow, Garnett","Coleman, Hinrichsen",,"Bridges, Buckner, Donovan, Fields, Ginal, Gonzales, Jaquez Lewis, Kolker, Lee, Moreno, Pettersen, Priola, Winter, Zenzinger, Fenberg"
HB22-1407,Veterans Audit Higher Education Courses,"Valdez D., Ortiz",,"Bacon, Bernett, Bird, Boesenecker, Caraveo, Carver, Cutter, Duran, Esgar, Exum, Froelich, Herod, Hooton, Jodeh, Kennedy, Lindsay, Lontine, McCluskie, McLachlan, Michaelson Jenet, Mullica, Ricks, Roberts, Titone, Valdez A., Van Beber, Weissman, Woodrow, Young, Garnett",Hinrichsen,,"Donovan, Liston, Moreno, Rodriguez, Story, Fenberg"
HB22-1408,Modify Performance-based Incentive For Film Produc,"Herod, Esgar",,"Bacon, Cutter, Duran, Froelich, Lindsay, Lontine, McCluskie, McCormick, McLachlan, Michaelson Jenet, Sullivan, Titone, Valdez A., Valdez D., Woodrow, Garnett","Hisey, Moreno",,"Bridges, Jaquez Lewis, Pettersen"
HB22-1409,Community Revitalization Grant Program Funding,"Herod, Titone",,"Bacon, Bernett, Bird, Boesenecker, Cutter, Duran, Exum, Froelich, Hooton, Jodeh, Kipp, Lindsay, Lontine, McCluskie, McCormick, Michaelson Jenet, Mullica, Ricks, Roberts, Valdez A., Valdez D., Will, Woodrow, Young, Amabile, McLachlan","Coleman, Hisey",,"Bridges, Buckner, Donovan, Hansen, Jaquez Lewis, Lee, Lundeen, Moreno, Pettersen, Rankin, Simpson, Story, Winter, Zenzinger, Fenberg"
HB22-1410,Remote Work Employees Of Supervised Lenders,"Bird, Rich",,"Bernett, Duran, Lindsay, McCluskie, Pico, Ricks, Soper","Holbert, Rodriguez",,"Gonzales, Scott, Winter"
HB22-1411,Money From Coronavirus State Fiscal Recovery Fund,"McCluskie, Herod",,"Duran, Esgar, Jodeh, Kipp, Lindsay, Michaelson Jenet, Mullica, Exum, Lontine, Ortiz, Ricks, Titone, Valdez A.",Moreno,,"Donovan, Hansen, Lee, Rankin, Story, Zenzinger, Fenberg"
HB22-1412,Sunset Division Of Gaming,"Garnett, Van Winkle","Amabile, Roberts","Snyder, Williams, Kipp",Cooke,,Moreno
HB22-1413,Remote Testimony Before Legislative Committees,"Esgar, McKean",Garnett,"Amabile, Bacon, Bernett, Bird, Boesenecker, Caraveo, Carver, Cutter, Exum, Froelich, Geitner, Gonzales-Gutierrez, Gray, Hooton, Jodeh, Kennedy, Kipp, Lindsay, Lontine, McCluskie, McCormick, McLachlan, Michaelson Jenet, Mullica, Ortiz, Pico, Ricks, Roberts, Sirota, Snyder, Soper, Sulli","Fenberg, Holbert",Moreno,"Bridges, Buckner, Coleman, Cooke, Danielson, Gardner, Gonzales, Hisey, Kirkmeyer, Kolker, Lee, Liston, Lundeen, Pettersen, Scott, Sonnenberg, Story, Winter"
HB22-1414,Healthy Meals For All Public School Students,"Gonzales-Gutierrez, Michaelson Jenet",,"Amabile, Bacon, Benavidez, Bernett, Bird, Boesenecker, Caraveo, Cutter, Daugherty, Esgar, Exum, Froelich, Jodeh, Kennedy, Kipp, Lindsay, Lontine, McCormick, Mullica, Ortiz, Ricks, Roberts, Sirota, Sullivan, Tipper, Titone, Valdez A., Weissman, Woodrow, Garnett","Pettersen, Fields",Moreno,"Bridges, Buckner, Danielson, Donovan, Ginal, Gonzales, Hansen, Hinrichsen, Jaquez Lewis, Kolker, Lee, Story, Winter, Zenzinger, Fenberg"
HB22-1415,Repeal Registered Manager Reqmnt Liquor Licensees,"Bird, McKean",,"Bernett, Carver, Geitner, Hooton, Lindsay, McCluskie, Pico, Ricks, Roberts, Sandridge, Snyder","Zenzinger, Lundeen",,"Holbert, Kirkmeyer, Smallwood, Woodward"
HB22-1416,Property Tax Administrative Procedures,"Esgar, Neville",,"Baisley, Bernett, Bird, Bockenfeld, Hooton, Jodeh, Lindsay, Lontine, McCluskie, Michaelson Jenet, Pelton, Pico, Rich, Ricks, Sandridge, Snyder, Soper, Titone, Valdez D., Van Winkle, Weissman, Williams, Garnett","Kolker, Rankin",,"Bridges, Ginal, Hansen, Moreno, Sonnenberg, Zenzinger, Fenberg"
HB22-1417,Alcohol Beverages Task Force & Retailer Licenses,"Roberts, Larson",,"Bird, Lindsay, McCluskie, Mullica, Ricks, Snyder, Valdez D.",Rodriguez,,
HB22-1418,Extension Of Certain Unused Tax Credits,"Herod, McCluskie",Ransom,"Bernett, Bird, Hooton, Jodeh, Lindsay, Lontine, McKean, Ricks, Snyder, Garnett","Hansen, Zenzinger",Rankin,Ginal
HCR22-1001,Statutory Initiative Petition Signature Reqmnts,Holtorf,,,Sonnenberg,,
HCR22-1002,Eliminate Requirement That Bills Be Read At Length,Weissman,,,,,
HCR22-1003,Extend Homestead Exemption To Gold Star Spouses,"Geitner, Kipp",,"Amabile, Bacon, Baisley, Bernett, Bird, Bockenfeld, Caraveo, Carver, Cutter, Daugherty, Duran, Esgar, Exum, Froelich, Gonzales-Gutierrez, Herod, Holtorf, Hooton, Jodeh, Larson, Lindsay, Lontine, Lynch, McCluskie, McLachlan, Michaelson Jenet, Mullica, Ortiz, Pico, Ransom, Roberts, Sand","Bridges, Lundeen",,"Buckner, Coleman, Cooke, Danielson, Donovan, Gardner, Ginal, Hinrichsen, Hisey, Holbert, Jaquez Lewis, Kirkmeyer, Kolker, Liston, Pettersen, Rankin, Scott, Simpson, Sonnenberg, Story, Winter, Woodward"
HCR22-1004,Repeal Insurance Commissioner Appointment Reqmnt,Pico,"Bradfield, Holtorf, Soper, Van Beber, Will",,,Woodward,
HCR22-1005,New 23rd Judicial District Judges,"Weissman, Van Winkle",,"Bockenfeld, Duran, Gray, Jodeh, Lynch, Pico, Woodrow","Gardner, Fields",,"Donovan, Holbert, Liston, Lundeen, Smallwood, Woodward"
HCR22-1006,Charitible Gaming Constitutional Amendment,"Will, Ortiz",,"Hooton, Lindsay","Rodriguez, Smallwood",,
HJR22-1001,Joint Session For Message From The Governor,Esgar,"Garnett, McKean",,Fenberg,"Garcia, Holbert",
HJR22-1002,Study State & Interstate Highway Vehicle Weight,"Pico, Rich","Boesenecker, Catlin, Exum, Froelich, Gray, Hooton, Sullivan, Valdez D., Van Winkle","Amabile, Bacon, Baisley, Benavidez, Bernett, Bird, Bockenfeld, Bradfield, Caraveo, Carver, Cutter, Daugherty, Duran, Esgar, Geitner, Gonzales-Gutierrez, Hanks, Herod, Jodeh, Kennedy, Kipp, Larson, Lindsay, Lontine, Luck, Lynch, McCluskie, McCormick, McKean, McLachlan, Mullica, Neville","Hisey, Zenzinger","Coram, Donovan, Scott","Cooke, Fields, Gardner, Holbert, Kirkmeyer, Liston, Lundeen, Pettersen, Priola, Rankin, Simpson, Smallwood, Sonnenberg, Winter, Woodward"
HJR22-1003,"Commemorate Dr. Martin Luther King, Jr.","Ricks, Exum","Bacon, Herod, Jodeh","Amabile, Baisley, Benavidez, Bernett, Bird, Bockenfeld, Boesenecker, Bradfield, Caraveo, Catlin, Cutter, Daugherty, Esgar, Froelich, Geitner, Gonzales-Gutierrez, Gray, Hanks, Holtorf, Hooton, Kennedy, Kipp, Larson, Lontine, Luck, Lynch, McCluskie, McCormick, McKean, McLachlan, Michae","Buckner, Fields",Coleman,"Bridges, Cooke, Coram, Donovan, Fenberg, Ginal, Gonzales, Hansen, Hisey, Holbert, Jaquez Lewis, Kirkmeyer, Kolker, Lee, Liston, Lundeen, Moreno, Pettersen, Priola, Rankin, Rodriguez, Scott, Simpson, Smallwood, Sonnenberg, Story, Winter, Zenzinger, Garcia"
HJR22-1004,Designate Lt. Eric Hill Memorial Hwy,Roberts,,,Donovan,,
HJR22-1005,Barney Ford Day,"Herod, Jodeh",,"Amabile, Bacon, Baisley, Benavidez, Bernett, Bird, Bockenfeld, Boesenecker, Bradfield, Caraveo, Carver, Catlin, Cutter, Daugherty, Esgar, Exum, Froelich, Geitner, Gonzales-Gutierrez, Gray, Hanks, Holtorf, Hooton, Kennedy, Kipp, Larson, Lindsay, Lontine, Luck, Lynch, McCluskie, McCormi","Buckner, Coleman",,"Bridges, Cooke, Donovan, Fenberg, Fields, Gardner, Ginal, Gonzales, Hansen, Hisey, Holbert, Jaquez Lewis, Kirkmeyer, Kolker, Lee, Liston, Lundeen, Moreno, Pettersen, Rankin, Rodriguez, Scott, Simpson, Sonnenberg, Story, Woodward, Zenzinger, Garcia"
HJR22-1006,"Military, Veterans, MIA/POW Appreciation Day","Young, Carver",,"Amabile, Bacon, Benavidez, Bernett, Bird, Bockenfeld, Boesenecker, Bradfield, Caraveo, Catlin, Cutter, Daugherty, Esgar, Exum, Froelich, Geitner, Gonzales-Gutierrez, Gray, Hanks, Herod, Holtorf, Hooton, Jodeh, Kennedy, Kipp, Larson, Lindsay, Lontine, Luck, Lynch, McCluskie, McCormick","Zenzinger, Gardner",,"Bridges, Buckner, Coleman, Cooke, Coram, Donovan, Fenberg, Fields, Ginal, Gonzales, Hansen, Hisey, Holbert, Jaquez Lewis, Kirkmeyer, Kolker, Lee, Liston, Lundeen, Moreno, Pettersen, Priola, Rankin, Rodriguez, Scott, Simpson, Smallwood, Sonnenberg, Winter, Woodward, Garcia"
HJR22-1007,Recognition of African-American Veterans,"Herod, Bacon",,"Amabile, Benavidez, Bernett, Bird, Bockenfeld, Boesenecker, Bradfield, Caraveo, Carver, Catlin, Cutter, Daugherty, Esgar, Exum, Froelich, Geitner, Gonzales-Gutierrez, Gray, Hanks, Holtorf, Hooton, Jodeh, Kennedy, Kipp, Larson, Lindsay, Lontine, Luck, Lynch, McCluskie, McCormick, McKea","Coleman, Buckner",,"Bridges, Cooke, Coram, Donovan, Fenberg, Fields, Gardner, Ginal, Gonzales, Hansen, Hisey, Holbert, Jaquez Lewis, Kirkmeyer, Kolker, Lee, Liston, Lundeen, Moreno, Pettersen, Priola, Rankin, Rodriguez, Scott, Simpson, Smallwood, Sonnenberg, Winter, Woodward, Zenzinger, Garcia"
HJR22-1008,Contributions of Latino And Latina Veterans,"Ortiz, Holtorf",,"Amabile, Bacon, Benavidez, Bernett, Bird, Bockenfeld, Boesenecker, Bradfield, Caraveo, Carver, Catlin, Cutter, Daugherty, Esgar, Exum, Froelich, Geitner, Gonzales-Gutierrez, Gray, Hanks, Herod, Hooton, Jodeh, Kennedy, Kipp, Larson, Lindsay, Lontine, Luck, Lynch, McCluskie, McCormick","Rodriguez, Moreno",,"Bridges, Buckner, Coleman, Cooke, Coram, Donovan, Fenberg, Fields, Gardner, Ginal, Gonzales, Hansen, Hisey, Holbert, Jaquez Lewis, Kirkmeyer, Kolker, Lee, Liston, Lundeen, Pettersen, Priola, Rankin, Scott, Simpson, Smallwood, Sonnenberg, Winter, Woodward, Zenzinger, Garcia"
HJR22-1009,Honoring CO Veterans Of WWII,"Weissman, Hanks",,"Amabile, Bacon, Benavidez, Bernett, Bird, Bockenfeld, Boesenecker, Bradfield, Caraveo, Carver, Catlin, Cutter, Daugherty, Esgar, Exum, Froelich, Geitner, Gonzales-Gutierrez, Gray, Herod, Holtorf, Hooton, Jodeh, Kennedy, Kipp, Larson, Lindsay, Lontine, Luck, Lynch, McCluskie, McCormick","Donovan, Liston",,"Bridges, Buckner, Coleman, Cooke, Coram, Fenberg, Fields, Gardner, Ginal, Gonzales, Hansen, Hisey, Holbert, Jaquez Lewis, Kirkmeyer, Kolker, Lee, Lundeen, Moreno, Pettersen, Priola, Rankin, Rodriguez, Scott, Simpson, Smallwood, Sonnenberg, Winter, Woodward, Zenzinger, Garcia"
HJR22-1010,Colorado Vietnam War Veterans,"Sullivan, Pico",,"Amabile, Bacon, Benavidez, Bernett, Bird, Bockenfeld, Boesenecker, Bradfield, Caraveo, Carver, Catlin, Cutter, Daugherty, Esgar, Exum, Froelich, Geitner, Gonzales-Gutierrez, Gray, Hanks, Herod, Holtorf, Hooton, Jodeh, Kennedy, Kipp, Larson, Lindsay, Lontine, Luck, Lynch, McCluskie","Fields, Rankin",,"Bridges, Buckner, Coleman, Cooke, Coram, Donovan, Fenberg, Gardner, Ginal, Gonzales, Hansen, Hisey, Holbert, Jaquez Lewis, Kirkmeyer, Kolker, Lee, Liston, Lundeen, Moreno, Pettersen, Priola, Rodriguez, Scott, Simpson, Smallwood, Sonnenberg, Winter, Woodward, Zenzinger, Garcia"
HJR22-1011,Honoring Gold Star Families,"Bernett, Geitner",,"Amabile, Bacon, Benavidez, Bird, Bockenfeld, Boesenecker, Bradfield, Caraveo, Carver, Catlin, Cutter, Daugherty, Esgar, Exum, Froelich, Gonzales-Gutierrez, Gray, Hanks, Herod, Holtorf, Hooton, Jodeh, Kennedy, Kipp, Larson, Lindsay, Lontine, Luck, Lynch, McCluskie, McCormick, McKean","Kolker, Lundeen",,"Bridges, Buckner, Coleman, Cooke, Coram, Donovan, Fenberg, Fields, Gardner, Ginal, Gonzales, Hansen, Hisey, Holbert, Jaquez Lewis, Kirkmeyer, Lee, Liston, Moreno, Pettersen, Priola, Rankin, Rodriguez, Scott, Simpson, Smallwood, Sonnenberg, Winter, Woodward, Zenzinger, Garcia"
HJR22-1012,United States Space Command Colorado,"Snyder, Lynch",,"Amabile, Bacon, Benavidez, Bernett, Bird, Bockenfeld, Boesenecker, Bradfield, Caraveo, Carver, Catlin, Cutter, Daugherty, Esgar, Exum, Froelich, Geitner, Gonzales-Gutierrez, Gray, Hanks, Herod, Holtorf, Hooton, Jodeh, Kennedy, Kipp, Larson, Lindsay, Lontine, Luck, McCluskie, McCormick","Garcia, Hisey",,"Bridges, Buckner, Coleman, Cooke, Coram, Donovan, Fenberg, Fields, Gardner, Ginal, Gonzales, Hansen, Holbert, Jaquez Lewis, Kirkmeyer, Kolker, Lee, Liston, Lundeen, Moreno, Pettersen, Priola, Rankin, Rodriguez, Scott, Simpson, Smallwood, Sonnenberg, Winter, Woodward, Zenzinger"
HJR22-1013,U.S.S. Pueblo,"Esgar, Luck",,"Amabile, Bacon, Benavidez, Bernett, Bird, Bockenfeld, Boesenecker, Bradfield, Caraveo, Carver, Catlin, Cutter, Daugherty, Exum, Froelich, Geitner, Gonzales-Gutierrez, Gray, Hanks, Herod, Holtorf, Hooton, Jodeh, Kennedy, Kipp, Larson, Lindsay, Lontine, Lynch, McCluskie, McCormick, McKe","Garcia, Simpson",,"Bridges, Buckner, Coleman, Cooke, Coram, Donovan, Fenberg, Fields, Gardner, Ginal, Gonzales, Hansen, Hisey, Holbert, Jaquez Lewis, Kirkmeyer, Kolker, Lee, Liston, Lundeen, Moreno, Pettersen, Priola, Rankin, Rodriguez, Scott, Smallwood, Sonnenberg, Winter, Woodward, Zenzinger"
HJR22-1014,SFC Will Lindsay Memorial Highway,"Ortiz, Sandridge",,"Amabile, Bacon, Benavidez, Bernett, Bird, Bockenfeld, Boesenecker, Bradfield, Caraveo, Carver, Catlin, Cutter, Daugherty, Esgar, Exum, Froelich, Geitner, Gonzales-Gutierrez, Gray, Hanks, Herod, Holtorf, Hooton, Jodeh, Kennedy, Kipp, Larson, Lindsay, Lontine, Luck, Lynch, McCluskie","Lee, Liston",,"Bridges, Buckner, Coleman, Cooke, Coram, Donovan, Fenberg, Fields, Gardner, Ginal, Gonzales, Hansen, Hisey, Holbert, Jaquez Lewis, Kirkmeyer, Kolker, Lundeen, Moreno, Pettersen, Priola, Rankin, Rodriguez, Scott, Simpson, Smallwood, Sonnenberg, Winter, Woodward, Zenzinger, Garcia"
HJR22-1015,Designate CW3 Scott A. M. Oswell Memorial Highway,"Carver, Ortiz",,"Amabile, Bacon, Baisley, Benavidez, Bernett, Bird, Bockenfeld, Boesenecker, Bradfield, Caraveo, Catlin, Cutter, Daugherty, Duran, Esgar, Exum, Froelich, Geitner, Gonzales-Gutierrez, Gray, Hanks, Herod, Holtorf, Hooton, Jodeh, Kennedy, Kipp, Larson, Lindsay, Lontine, Luck, Lynch, McClus","Hisey, Lee",,"Bridges, Buckner, Coleman, Coram, Danielson, Donovan, Fields, Gardner, Ginal, Gonzales, Hansen, Hinrichsen, Holbert, Jaquez Lewis, Kirkmeyer, Kolker, Liston, Lundeen, Moreno, Pettersen, Priola, Rankin, Rodriguez, Scott, Simpson, Smallwood, Sonnenberg, Story, Winter, Woodward, Zenzing"
HJR22-1016,Womens History Month,"Duran, Rich","Bradfield, Luck","Amabile, Bacon, Baisley, Benavidez, Bernett, Bird, Boesenecker, Caraveo, Cutter, Daugherty, Esgar, Exum, Froelich, Gonzales-Gutierrez, Gray, Herod, Hooton, Jodeh, Kennedy, Kipp, Lindsay, Lontine, McCluskie, McCormick, McLachlan, Michaelson Jenet, Mullica, Ortiz, Ricks, Roberts, Sirot","Jaquez Lewis, Winter",,"Bridges, Buckner, Coleman, Coram, Danielson, Donovan, Fields, Gardner, Ginal, Gonzales, Hansen, Hinrichsen, Hisey, Holbert, Kirkmeyer, Kolker, Lee, Liston, Lundeen, Moreno, Pettersen, Priola, Rankin, Rodriguez, Scott, Simpson, Smallwood, Sonnenberg, Story, Woodward, Zenzinger, Fenberg"
HJR22-1017,Designate April 21 Sportsmens Day,"Will, Hooton",,"Amabile, Bacon, Baisley, Benavidez, Bernett, Bird, Bockenfeld, Boesenecker, Bradfield, Caraveo, Carver, Catlin, Cutter, Daugherty, Duran, Esgar, Exum, Froelich, Geitner, Gonzales-Gutierrez, Gray, Holtorf, Jodeh, Kennedy, Kipp, Larson, Lindsay, Lontine, Luck, Lynch, McCluskie, McCormic",Hisey,,"Bridges, Buckner, Coleman, Cooke, Coram, Danielson, Donovan, Fields, Gardner, Ginal, Gonzales, Hansen, Hinrichsen, Holbert, Jaquez Lewis, Kirkmeyer, Kolker, Lee, Liston, Lundeen, Moreno, Pettersen, Priola, Rankin, Rodriguez, Simpson, Smallwood, Sonnenberg, Story, Winter, Woodward"
HJR22-1018,Designate Colonel Stan Cass Memorial Highway,Van Beber,Holtorf,"Amabile, Bacon, Baisley, Benavidez, Bernett, Bird, Bockenfeld, Boesenecker, Bradfield, Caraveo, Carver, Catlin, Cutter, Daugherty, Duran, Esgar, Exum, Froelich, Geitner, Gonzales-Gutierrez, Gray, Herod, Hooton, Jodeh, Kennedy, Kipp, Larson, Lindsay, Lontine, Luck, Lynch, McCluskie",Sonnenberg,,"Bridges, Buckner, Coleman, Cooke, Coram, Danielson, Donovan, Fields, Gardner, Ginal, Gonzales, Hansen, Hinrichsen, Hisey, Holbert, Jaquez Lewis, Kirkmeyer, Kolker, Lee, Liston, Lundeen, Moreno, Pettersen, Priola, Rankin, Rodriguez, Scott, Simpson, Smallwood, Story, Winter, Woodward"
HJR22-1019,Designate Pvt. Joe P. Martinez Memorial Highway,"Van Beber, Holtorf",,"Amabile, Bacon, Baisley, Benavidez, Bernett, Bird, Bockenfeld, Boesenecker, Bradfield, Caraveo, Carver, Catlin, Cutter, Daugherty, Duran, Esgar, Exum, Froelich, Geitner, Gonzales-Gutierrez, Gray, Hanks, Herod, Hooton, Jodeh, Kennedy, Kipp, Larson, Lindsay, Lontine, Luck, Lynch, McClusk","Sonnenberg, Cooke",,"Bridges, Buckner, Coleman, Coram, Danielson, Donovan, Fields, Gardner, Ginal, Gonzales, Hansen, Hinrichsen, Hisey, Holbert, Jaquez Lewis, Kirkmeyer, Kolker, Lee, Liston, Lundeen, Moreno, Pettersen, Priola, Rankin, Rodriguez, Scott, Simpson, Smallwood, Story, Winter, Woodward, Zenzinge"
HJR22-1020,Commemoration Of The Holocaust,"Michaelson Jenet, Pelton",,"Amabile, Bacon, Baisley, Benavidez, Bernett, Bird, Bockenfeld, Boesenecker, Bradfield, Caraveo, Carver, Catlin, Cutter, Daugherty, Duran, Esgar, Exum, Froelich, Geitner, Gonzales-Gutierrez, Gray, Herod, Holtorf, Hooton, Jodeh, Kennedy, Kipp, Larson, Lindsay, Lontine, Luck, Lynch, McClu","Fenberg, Gardner",,"Bridges, Buckner, Coleman, Cooke, Danielson, Donovan, Fields, Ginal, Gonzales, Hansen, Hinrichsen, Hisey, Holbert, Jaquez Lewis, Kirkmeyer, Kolker, Lee, Liston, Lundeen, Moreno, Pettersen, Rankin, Rodriguez, Scott, Simpson, Smallwood, Sonnenberg, Story, Winter, Woodward, Zenzinger"
HJR22-1021,Call For An Article V Convention Of States,Hanks,"Baisley, Bockenfeld, Bradfield, Catlin, Holtorf, Lynch, Pelton, Pico, Rich, Soper, Will",,,,
HJR22-1022,Honoring Those Impacted By COVID-19 Policy,"Luck, Williams","Baisley, Carver, Lynch, Neville, Ransom, Van Winkle",,,,
HJR22-1023,Military Day Appreciation,"Holtorf, Pico",,,,Liston,
HJR22-1024,Sexual Assault Awareness Month & Denim Day,"Esgar, Duran","Amabile, Bacon, Benavidez, Bernett, Bird, Caraveo, Cutter, Daugherty, Froelich, Gonzales-Gutierrez, Hooton, Jodeh, Kipp, Lindsay, Lontine, McCluskie, McCormick, McLachlan, Ricks, Sirota, Titone, Young","Baisley, Bockenfeld, Boesenecker, Bradfield, Carver, Catlin, Exum, Geitner, Hanks, Herod, Holtorf, Kennedy, Larson, Luck, Lynch, McKean, Michaelson Jenet, Mullica, Neville, Ortiz, Pelton, Pico, Ransom, Rich, Roberts, Sandridge, Snyder, Soper, Sullivan, Tipper, Valdez A., Valdez D.","Gonzales, Winter","Buckner, Danielson, Fields, Ginal, Jaquez Lewis, Story","Bridges, Coleman, Cooke, Coram, Donovan, Gardner, Hansen, Hinrichsen, Hisey, Holbert, Kirkmeyer, Kolker, Lee, Liston, Lundeen, Moreno, Pettersen, Priola, Rankin, Rodriguez, Scott, Simpson, Smallwood, Woodward, Zenzinger, Fenberg"
HJR22-1025,2023 Session Convening Date & Deadlines,"Esgar, McKean",Garnett,"Amabile, Baisley, Bernett, Bird, Boesenecker, Caraveo, Cutter, Daugherty, Exum, Froelich, Gonzales-Gutierrez, Hanks, Holtorf, Hooton, Jodeh, Kipp, Lindsay, Lontine, McCluskie, McCormick, McLachlan, Michaelson Jenet, Ortiz, Pico, Soper, Sullivan, Titone, Valdez A., Valdez D., Van Beb","Fenberg, Gardner",Moreno,"Cooke, Lundeen"
HJR22-1026,Notify Governor Of Adjournment,Esgar,"Garnett, McKean","Amabile, Bacon, Baisley, Benavidez, Bernett, Bird, Bockenfeld, Boesenecker, Caraveo, Carver, Catlin, Cutter, Daugherty, Duran, Exum, Froelich, Geitner, Gonzales-Gutierrez, Gray, Hanks, Herod, Holtorf, Hooton, Jodeh, Kennedy, Kipp, Larson, Lindsay, Lontine, Luck, Lynch, McCluskie, McCor",Moreno,"Fenberg, Holbert","Bridges, Cooke, Donovan, Gardner, Ginal, Kirkmeyer, Liston, Scott, Story, Winter, Woodward"
HM22-1001,Memorialize Former Rep Joe Nuñez,Ransom,,"Amabile, Bacon, Baisley, Benavidez, Bernett, Bird, Bockenfeld, Boesenecker, Bradfield, Caraveo, Carver, Catlin, Cutter, Daugherty, Duran, Esgar, Exum, Froelich, Geitner, Gonzales-Gutierrez, Gray, Hanks, Herod, Holtorf, Hooton, Jodeh, Kennedy, Kipp, Larson, Lindsay, Lontine, Luck, Lynch",,,
